Team,P,W,L,D,F,A
Richmond,22,18,4,0,2143,1574
West Coast Eagles,22,16,6,0,2012,1657
Collingwood,22,15,7,0,2046,1699
Hawthorn,22,15,7,0,1972,1642
Melbourne,22,14,8,0,2299,1749
Sydney Swans,22,14,8,0,1822,1664
GWS Giants,22,13,8,1,1898,1661
Geelong Cats,22,13,9,0,2045,1554
North Melbourne,22,12,10,0,1950,1790
Port Adelaide,22,12,10,0,1780,1654
Essendon,22,12,10,0,1932,1838
Adelaide Crows,22,12,10,0,1941,1865
Western Bulldogs,22,8,14,0,1575,2037
Fremantle,22,8,14,0,1556,2041
Brisbane Lions,22,5,17,0,1825,2049
St Kilda,22,4,17,1,1606,2125
Gold Coast Suns,22,4,18,0,1308,2182
Carlton,22,2,20,0,1353,2282
