Date,Weight (kg)
29-Dec,94.5
30-Dec,94
31-Dec,94
1-Jan,93.5
2-Jan,94.2
3-Jan,94
4-Jan,94
5-Jan,93.4
6-Jan,92.6
7-Jan,93.1
8-Jan,92.7
9-Jan,92.5
10-Jan,92.3
11-Jan,92.1
12-Jan,92.5
13-Jan,92.6
14-Jan,92.5
15-Jan,92.1
16-Jan,91.6
17-Jan,91.3
18-Jan,91.8
19-Jan,91.7
20-Jan,91.9
21-Jan,91.8
22-Jan,91.1
23-Jan,90.7
24-Jan,90.5
25-Jan,90.5
26-Jan,90.3
27-Jan,90.1
28-Jan,89.9
29-Jan,90.2
30-Jan,90.1
31-Jan,89.9
1-Feb,89.5
2-Feb,89.1
3-Feb,89.3
4-Feb,89.4
5-Feb,89.2
6-Feb,88.2
7-Feb,88.2
8-Feb,88.3
9-Feb,88.2
10-Feb,89.1
11-Feb,88.9
12-Feb,88.6
13-Feb,88.7
14-Feb,88.5
15-Feb,88.1
16-Feb,87.8
17-Feb,87.9
18-Feb,88.1
19-Feb,87.9
20-Feb,87.6
21-Feb,87.5
22-Feb,87.3
23-Feb,87
24-Feb,87.5
25-Feb,87.7
26-Feb,87.4
27-Feb,87.2
28-Feb,86.9
1-Mar,86.9
2-Mar,86.9
3-Mar,86.5
4-Mar,86.8
5-Mar,87
6-Mar,86.9
7-Mar,86.2
8-Mar,86.4
9-Mar,86.1
10-Mar,86.7
11-Mar,85.6
12-Mar,85.8
13-Mar,85.3
14-Mar,85.1
15-Mar,85.4
16-Mar,84.5
17-Mar,85.1
18-Mar,84.8
19-Mar,84.8
20-Mar,84.8
21-Mar,84.9
22-Mar,85.5
23-Mar,85.1
24-Mar,85.5
25-Mar,85.6
26-Mar,85.9
27-Mar,85.9
28-Mar,85.5
29-Mar,85.9
30-Mar,85.5
1-Apr,85.2
2-Apr,84.8
3-Apr,85.3
4-Apr,85.4
5-Apr,85.3
